May 2009 Edition                                  
Current Entities Total: 338                         



The ARRL DXCC List is also available from our Publication Sales Department 
for $5.95 each plus shipping.  In addition to the List, the paper copy 
includes: the DXCC rules, DXCC Award Application, ARRL DXCC Card Checkers, 
Incoming and Outgoing QSL Bureau information and more.


                                ARRL DXCC LIST
                             
   ALL ENTITIES ON THE CURRENT LIST ARE ELIGIBLE FOR FIELD CHECKING

                             
NOTE: * INDICATES CURRENT LIST OF ENTITIES FOR WHICH QSLs MAY BE FORWARDED 
        BY THE ARRL MEMBERSHIP OUTGOING QSL SERVICE.
                             
NOTE: # INDICATES ENTITIES WITH WHICH U.S. AMATEURS MAY LEGALLY HANDLE 
        THIRD-PARTY MESSAGE TRAFFIC.

              
                                                            ZONE	Entity
     Prefix         Entity 	             	Cont.     ITU   CQ	Code 
14   (C9) Only contacts made September 15, 1963, and before, count
     for this entity. Contact made September 16, 1963, and after, 
     count as China (BY).
15   (CN2) Only contacts made June 30, 1960, and before, count for
     this entity. Contact made July 1, 1960, and after, count as
     Morocco (CN).
16   (CR8) Only contacts made December 31, 1961, and before, count
     for this entity.
17   (CR8,CR10) Only contacts made September 14, 1976, and before, 
     count for this entity.
18   (DA-DM) Only contacts made September 16, 1973, and before,
     count for this entity. Contacts made September 17, 1973, and 
     after, count as either FRG (DA-DL) or GDR (Y2-Y9).
19   (DM,Y2-9) Only contacts made from September 17, 1973, to
     October 2, 1990 count for this entity. On October 3, 1990
     the GDR became part of the FRG.
20   (EA9) Only contacts made May 13, 1969, and before, count for
     this entity.
21   (FF) Only contacts made August 6, 1960, and before, count for
     this entity.
22   (FH, FB8) Only contacts made July 5, 1975, and before, count 
     for this entity. Contacts made July 6, 1975, and after,
     count as Comoros (D6) or Mayotte (FH).
23   (FI8) Only contacts made December 20, 1950, and before, count
     for this entity.
24   (FN8) Only contacts made October 31, 1954, and before, count
     for this entity.
25   (FQ8) Only contacts made August 16, 1960, and before will
     count for this entity.
26   (HK,KP3,KS4) Only contacts made September 16, 1981, and
     before, count for this entity. Contacts made September 17,
     1981, and after, count as San Andres (HK).
27   (I1) Only contacts made March 31, 1957, and before, count for
     this entity.
28   (I5) Only contacts made June 30, 1960, and before, count for
     this entity.
29   (JZ) Only contacts made April 30, 1963, and before, count
     for this entity.
30   (KR6,8,JR6,KA6) Only contacts made May 14, 1972, and before,
     count for this entity. Contacts made May 15, 1972, and
     after, count as Japan (JA).
31   (KS4) Only contacts made August 31, 1972, and before, count
     for this entity. Contacts made September 1, 1972, and
     after, count as Honduras (HR).
32   (KZ5) Only contacts made September 30, 1979, and before,
     count for this entity.
33   (OK-OM) Only contacts made December 31, 1992, and before,    
     count for this entity.
34   (P2,VK9) Only contacts made September 15, 1975, and before,
     count for this entity. Contacts made September 16, 1975,
     and after, count as Papua New Guinea (P2).
35   (PK1-6) Only contacts made April 30, 1963, and before, count
     for this entity. Contact made May 1, 1963, and after, count
     as Indonesia.
36   (ST0) Only contacts made between May 7, 1972 and December 31, 1994,
     count for this entity.
37   (UN1) Only contacts made June 30, 1960, and before, count for
     this entity. Contacts made July 1, 1960, and after count as
     European RSFSR (UA).
38   (VO) Only contacts made March 31, 1949, and before, count for
     this entity. Contacts made April 1, 1949, and after, count
     as Canada (VE).
39   (VQ1,5H1) Only contacts made May 31, 1974, and before, count
     for this entity. Contacts made June 1, 1974, and after,
     count as Tanzania (5H).
40   (VQ6) Only contacts made June 30, 1960, and before, count for
     this entity.
41   (VQ9) Only contacts made June 28, 1976, and before, count for
     this entity. Contacts made June 29, 1976, and after, count
     as Seychelles (S7).
42   (VS2,VS4,ZC5,9M2) Only contacts made September 15, 1963,
     and before, count for this entity. Contacts made September
     16, 1963, and after, count as West malaysia (9M2) or East
     Malaysia (9M6,8).
43   (VS9A,P,S) Only contacts made before May 22, 1990, and before, 
     count for this entity.
44   (VS9H) Only contacts made November 29, 1967, and before, count 
     for this entity.
45   (VS9K) Only contacts made on March 10, 1982, and before, count 
     for this entity.
46   (ZC6,4X1) Only contacts made June 30, 1968, and before, count
     for this entity. Contacts made July 1, 1968, and after, count 
     as Israel (4X).
47   (ZD4) Only contacts made March 5, 1957, and before, count for
     this entity.
48   (ZS0, 1) Only contacts made February 29, 1994, and before,
     count for this entity.
49   (ZS9) Only contacts made from September 1, 1977 to February
     28, 1994, count for this entity. 
